"","Id","StructureType","Area","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"99",223098,"Total residential","All areas","8/1/2012 12:00:00 AM",757418000,520921000,4181857000,120488000,47498000,77964000,90627000,1513014000,24497000,859146000,156599000,"7/31/2020 10:09:33 AM"
"100",223099,"Total residential and non-residential","All areas","8/1/2012 12:00:00 AM",1232545000,865799000,7309070000,187488000,87902000,140189000,130810000,2855589000,30601000,1460775000,293019000,"7/31/2020 10:09:33 AM"
"101",223100,"Total commercial","All areas","9/1/2012 12:00:00 AM",328946000,313961000,1458571000,43482000,15862000,29497000,31321000,356027000,10212000,230670000,58530000,"7/31/2020 10:09:33 AM"
"102",223101,"Total industrial","All areas","9/1/2012 12:00:00 AM",81018000,74654000,450537000,19662000,3150000,2483000,4853000,169446000,946000,81473000,8919000,"7/31/2020 10:09:33 AM"
"103",223102,"Total institutional and governmental","All areas","9/1/2012 12:00:00 AM",96346000,81459000,655105000,22950000,14051000,72000,14170000,243216000,230000,121509000,55292000,"7/31/2020 10:09:33 AM"
"104",223103,"Total residential","All areas","9/1/2012 12:00:00 AM",668346000,546394000,4193391000,126897000,39182000,54823000,86246000,1619474000,14187000,857677000,167514000,"7/31/2020 10:09:33 AM"
"105",223104,"Total residential and non-residential","All areas","9/1/2012 12:00:00 AM",1174656000,1016469000,6757604000,212991000,72244000,86875000,136591000,2388163000,25575000,1291330000,290256000,"7/31/2020 10:09:33 AM"
"106",223105,"Total commercial","All areas","10/1/2012 12:00:00 AM",305024000,165729000,1387886000,37943000,21957000,30973000,41462000,446978000,2391000,275033000,56542000,"7/31/2020 10:09:33 AM"
"107",223106,"Total industrial","All areas","10/1/2012 12:00:00 AM",139144000,96050000,764711000,9353000,1976000,3086000,6071000,294121000,1018000,192419000,19062000,"7/31/2020 10:09:33 AM"
"108",223107,"Total institutional and governmental","All areas","10/1/2012 12:00:00 AM",86207000,31618000,774906000,60138000,23544000,996000,10453000,388097000,95000,130844000,42730000,"7/31/2020 10:09:33 AM"
"109",223108,"Total residential","All areas","10/1/2012 12:00:00 AM",662987000,492849000,3895139000,108035000,40895000,61835000,90599000,1475569000,15355000,791076000,144935000,"7/31/2020 10:09:33 AM"
"110",223109,"Total residential and non-residential","All areas","10/1/2012 12:00:00 AM",1193361000,786246000,6822642000,215468000,88372000,96890000,148584000,2604766000,18859000,1389372000,263268000,"7/31/2020 10:09:33 AM"
"111",223110,"Total commercial","All areas","11/1/2012 12:00:00 AM",476377000,155272000,1626207000,58915000,17623000,23934000,44779000,560277000,2943000,246591000,39169000,"7/31/2020 10:09:33 AM"
"112",223111,"Total industrial","All areas","11/1/2012 12:00:00 AM",54050000,52696000,418737000,39106000,2618000,850000,2424000,115258000,250000,137062000,13933000,"7/31/2020 10:09:33 AM"
"113",223112,"Total institutional and governmental","All areas","11/1/2012 12:00:00 AM",190115000,72192000,644129000,12237000,8310000,2038000,6175000,212505000,4200000,122134000,13668000,"7/31/2020 10:09:33 AM"
"114",223113,"Total residential","All areas","11/1/2012 12:00:00 AM",755764000,523563000,3769522000,161641000,43730000,58137000,68405000,1128444000,20344000,851008000,154262000,"7/31/2020 10:09:33 AM"
"115",223114,"Total residential and non-residential","All areas","11/1/2012 12:00:00 AM",1476306000,803723000,6458595000,271899000,72281000,84959000,121782000,2016483000,27737000,1356795000,221032000,"7/31/2020 10:09:33 AM"
"116",223115,"Total commercial","All areas","12/1/2012 12:00:00 AM",342096000,142426000,1673255000,31026000,18590000,6673000,29964000,689583000,4260000,360239000,47744000,"7/31/2020 10:09:33 AM"
"117",223116,"Total industrial","All areas","12/1/2012 12:00:00 AM",87591000,62365000,426377000,10979000,2719000,2768000,3700000,149631000,25000,94912000,11350000,"7/31/2020 10:09:33 AM"
"118",223117,"Total institutional and governmental","All areas","12/1/2012 12:00:00 AM",96294000,57346000,650046000,21621000,11636000,2297000,5902000,357487000,85000,78779000,18597000,"7/31/2020 10:09:33 AM"
"119",223118,"Total residential","All areas","12/1/2012 12:00:00 AM",679058000,566695000,3464479000,112613000,35574000,59726000,69099000,975554000,7358000,821227000,132564000,"7/31/2020 10:09:33 AM"
"120",223119,"Total residential and non-residential","All areas","12/1/2012 12:00:00 AM",1205039000,828832000,6214156000,176239000,68520000,71464000,108665000,2172255000,11728000,1355156000,210254000,"7/31/2020 10:09:33 AM"
"121",223120,"Total commercial","All areas","1/1/2013 12:00:00 AM",426676000,125485000,1516081000,36899000,31082000,18136000,27301000,471112000,3147000,316970000,56999000,"7/31/2020 10:09:33 AM"
"122",223121,"Total industrial","All areas","1/1/2013 12:00:00 AM",116751000,43407000,476624000,9424000,2071000,426000,3295000,187189000,51000,101078000,12932000,"7/31/2020 10:09:33 AM"
"123",223122,"Total institutional and governmental","All areas","1/1/2013 12:00:00 AM",96462000,91878000,591274000,26495000,33918000,746000,6278000,186172000,0,114201000,34932000,"7/31/2020 10:09:33 AM"
"124",223123,"Total residential","All areas","1/1/2013 12:00:00 AM",731278000,568194000,3751040000,118438000,54919000,55586000,96849000,1238609000,8451000,719918000,150634000,"7/31/2020 10:09:33 AM"
"125",223124,"Total residential and non-residential","All areas","1/1/2013 12:00:00 AM",1371168000,828964000,6335019000,191257000,121989000,74894000,133723000,2083082000,11649000,1252166000,255498000,"7/31/2020 10:09:33 AM"
"126",223125,"Total commercial","All areas","2/1/2013 12:00:00 AM",493597000,154178000,1619032000,62736000,18284000,3920000,17810000,503669000,2829000,309014000,52427000,"7/31/2020 10:09:33 AM"
"127",223126,"Total industrial","All areas","2/1/2013 12:00:00 AM",84279000,32700000,420513000,16972000,1843000,21523000,11262000,160019000,3000,64299000,27593000,"7/31/2020 10:09:33 AM"
"128",223127,"Total institutional and governmental","All areas","2/1/2013 12:00:00 AM",119205000,61125000,627051000,26892000,12949000,6988000,1060000,173221000,1259000,119503000,53882000,"7/31/2020 10:09:33 AM"
"129",223128,"Total residential","All areas","2/1/2013 12:00:00 AM",777751000,545839000,3906454000,131946000,40096000,43422000,66504000,1397151000,7923000,749808000,138227000,"7/31/2020 10:09:33 AM"
"130",223129,"Total residential and non-residential","All areas","2/1/2013 12:00:00 AM",1474832000,793843000,6573050000,238545000,73172000,75853000,96637000,2234059000,12014000,1242624000,272129000,"7/31/2020 10:09:33 AM"
"131",223130,"Total commercial","All areas","3/1/2013 12:00:00 AM",307740000,141614000,1373809000,36564000,15838000,4349000,21851000,493797000,14242000,277072000,54757000,"7/31/2020 10:09:33 AM"
"132",223131,"Total industrial","All areas","3/1/2013 12:00:00 AM",114785000,49211000,560586000,4803000,0,1413000,2547000,273706000,250000,75914000,37958000,"7/31/2020 10:09:33 AM"
"133",223132,"Total institutional and governmental","All areas","3/1/2013 12:00:00 AM",297638000,24880000,734114000,14886000,11274000,1809000,3102000,232583000,6001000,96077000,45838000,"7/31/2020 10:09:33 AM"
"134",223133,"Total residential","All areas","3/1/2013 12:00:00 AM",867961000,567032000,3928297000,127909000,41554000,55151000,75568000,1318789000,10268000,701500000,156659000,"7/31/2020 10:09:33 AM"
"135",223134,"Total residential and non-residential","All areas","3/1/2013 12:00:00 AM",1588124000,782737000,6596805000,184161000,68666000,62722000,103069000,2318874000,30761000,1150562000,295211000,"7/31/2020 10:09:33 AM"
"136",223135,"Total commercial","All areas","4/1/2013 12:00:00 AM",447421000,144400000,1563486000,36572000,15752000,13551000,26207000,565037000,2251000,249901000,54992000,"7/31/2020 10:09:33 AM"
"137",223136,"Total industrial","All areas","4/1/2013 12:00:00 AM",125048000,31542000,461261000,3666000,2616000,2298000,1413000,161393000,731000,121354000,11146000,"7/31/2020 10:09:33 AM"
"138",223137,"Total institutional and governmental","All areas","4/1/2013 12:00:00 AM",119239000,93217000,677754000,6191000,80340000,1437000,9812000,221679000,8000,115045000,19145000,"7/31/2020 10:09:33 AM"
