"","Id","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate","Type"
"138",27417,"12/1/2017 12:00:00 AM",9,7,212,3,3,0,2,47,0,132,9,"8/5/2020 8:48:21 AM","Corporate"
"139",27418,"12/1/2017 12:00:00 AM",350,292,4142,114,189,94,259,1133,21,1567,115,"8/5/2020 8:48:21 AM","Personal"
"140",27419,"1/1/2018 12:00:00 AM",383,362,3981,71,130,107,224,992,24,1592,94,"8/5/2020 8:48:21 AM","Personal"
"141",27420,"1/1/2018 12:00:00 AM",5,4,191,5,2,1,5,53,1,113,2,"8/5/2020 8:48:21 AM","Corporate"
"142",27421,"2/1/2018 12:00:00 AM",10,11,255,2,3,1,5,54,0,163,6,"8/5/2020 8:48:21 AM","Corporate"
"143",27422,"2/1/2018 12:00:00 AM",384,336,4348,83,123,83,281,1098,48,1826,81,"8/5/2020 8:48:21 AM","Personal"
"144",27423,"3/1/2018 12:00:00 AM",429,344,4834,107,200,121,282,1368,40,1824,113,"8/5/2020 8:48:21 AM","Personal"
"145",27424,"3/1/2018 12:00:00 AM",16,7,254,1,0,2,2,73,0,146,7,"8/5/2020 8:48:21 AM","Corporate"
"146",27425,"4/1/2018 12:00:00 AM",19,11,239,2,7,1,1,61,0,131,6,"8/5/2020 8:48:21 AM","Corporate"
"147",27426,"4/1/2018 12:00:00 AM",405,357,4853,133,212,113,297,1338,42,1840,108,"8/5/2020 8:48:21 AM","Personal"
"148",27427,"5/1/2018 12:00:00 AM",452,396,5262,109,211,123,349,1422,44,2051,103,"8/5/2020 8:48:21 AM","Personal"
"149",27428,"5/1/2018 12:00:00 AM",10,6,221,2,3,1,3,64,0,126,6,"8/5/2020 8:48:21 AM","Corporate"
"150",27429,"6/1/2018 12:00:00 AM",12,3,196,1,5,1,1,52,1,116,4,"8/5/2020 8:48:21 AM","Corporate"
"151",27274,"12/1/2011 12:00:00 AM",483,569,5772,112,217,102,272,2083,27,1809,89,"8/5/2020 8:48:21 AM","Personal"
