"","Id","When","Type","Alberta","ModifiedDate"
"148",49736,"2/1/2011 12:00:00 AM","Non-Conventional Oil",7148457,"8/21/2020 1:25:18 PM"
"149",49737,"2/1/2011 12:00:00 AM","Conventional Oil",2188150.2,"8/21/2020 1:25:18 PM"
"150",49738,"2/1/2011 12:00:00 AM","Natural Gas",8251698600,"8/21/2020 1:25:18 PM"
"151",49739,"3/1/2011 12:00:00 AM","Conventional Oil",2455478.1,"8/21/2020 1:25:18 PM"
"152",49740,"3/1/2011 12:00:00 AM","Non-Conventional Oil",7706970.7,"8/21/2020 1:25:18 PM"
"153",49741,"3/1/2011 12:00:00 AM","Natural Gas",9091712400,"8/21/2020 1:25:18 PM"
"154",49742,"4/1/2011 12:00:00 AM","Non-Conventional Oil",7445175.9,"8/21/2020 1:25:18 PM"
"155",49743,"4/1/2011 12:00:00 AM","Natural Gas",9104141800,"8/21/2020 1:25:18 PM"
"156",49744,"4/1/2011 12:00:00 AM","Conventional Oil",2395944.1,"8/21/2020 1:25:18 PM"
"157",49745,"5/1/2011 12:00:00 AM","Natural Gas",9051266800,"8/21/2020 1:25:18 PM"
"158",49746,"5/1/2011 12:00:00 AM","Conventional Oil",2298500.5,"8/21/2020 1:25:18 PM"
"159",49747,"5/1/2011 12:00:00 AM","Non-Conventional Oil",6595892.6,"8/21/2020 1:25:18 PM"
"160",49748,"6/1/2011 12:00:00 AM","Natural Gas",8796907500,"8/21/2020 1:25:18 PM"
"161",49749,"6/1/2011 12:00:00 AM","Conventional Oil",2219853.9,"8/21/2020 1:25:18 PM"
"162",49750,"6/1/2011 12:00:00 AM","Non-Conventional Oil",7248012.9,"8/21/2020 1:25:18 PM"
"163",49751,"7/1/2011 12:00:00 AM","Natural Gas",9156216300,"8/21/2020 1:25:18 PM"
"164",49752,"7/1/2011 12:00:00 AM","Non-Conventional Oil",8333780.3,"8/21/2020 1:25:18 PM"
"165",49753,"7/1/2011 12:00:00 AM","Conventional Oil",2344236.1,"8/21/2020 1:25:18 PM"
"166",49754,"8/1/2011 12:00:00 AM","Conventional Oil",2432271,"8/21/2020 1:25:18 PM"
"167",49755,"8/1/2011 12:00:00 AM","Natural Gas",9059126600,"8/21/2020 1:25:18 PM"
"168",49756,"8/1/2011 12:00:00 AM","Non-Conventional Oil",8773933.4,"8/21/2020 1:25:18 PM"
"169",49757,"9/1/2011 12:00:00 AM","Natural Gas",8632952800,"8/21/2020 1:25:18 PM"
"170",49758,"9/1/2011 12:00:00 AM","Non-Conventional Oil",8038588.3,"8/21/2020 1:25:18 PM"
"171",49759,"9/1/2011 12:00:00 AM","Conventional Oil",2437164.3,"8/21/2020 1:25:18 PM"
"172",49760,"10/1/2011 12:00:00 AM","Conventional Oil",2594440.2,"8/21/2020 1:25:18 PM"
"173",49761,"10/1/2011 12:00:00 AM","Non-Conventional Oil",8500593.3,"8/21/2020 1:25:18 PM"
"174",49762,"10/1/2011 12:00:00 AM","Natural Gas",8914243200,"8/21/2020 1:25:18 PM"
"175",49763,"11/1/2011 12:00:00 AM","Non-Conventional Oil",8015631.6,"8/21/2020 1:25:18 PM"
"176",49764,"11/1/2011 12:00:00 AM","Natural Gas",8859161600,"8/21/2020 1:25:18 PM"
"177",49765,"11/1/2011 12:00:00 AM","Conventional Oil",2597544.5,"8/21/2020 1:25:18 PM"
"178",49766,"12/1/2011 12:00:00 AM","Non-Conventional Oil",8699535.7,"8/21/2020 1:25:18 PM"
"179",49767,"12/1/2011 12:00:00 AM","Conventional Oil",2791461.7,"8/21/2020 1:25:18 PM"
"180",49768,"12/1/2011 12:00:00 AM","Natural Gas",9286980100,"8/21/2020 1:25:18 PM"
"181",49769,"1/1/2012 12:00:00 AM","Non-Conventional Oil",8781010.4,"8/21/2020 1:25:18 PM"
"182",49770,"1/1/2012 12:00:00 AM","Conventional Oil",2732441,"8/21/2020 1:25:18 PM"
